Team Number,ELO
frc1622,-1192.0
frc5500,-712.0
frc4607,-586.90906
frc2641,-584.0
frc4160,-568.0
frc4083,-520.0
frc3577,-488.0
frc2408,-488.0
frc4787,-456.0
frc6156,-424.0
frc4576,-421.40775
frc5809,-408.0
frc5905,-360.31683
frc2647,-344.0
frc4360,-296.0
frc2531,-296.0
frc4594,-282.9091
frc3067,-264.0
frc1810,-248.0
frc1633,-245.09091
frc2450,-232.0
frc3110,-216.0
frc5597,-202.90909
frc2594,-189.81818
frc4763,-184.0
frc4247,-184.0
frc4919,-168.0
frc6191,-168.0
frc3370,-152.0
frc4111,-149.09088
frc5852,-136.31683
frc5477,-136.0
frc1551,-136.00003
frc1378,-120.0
frc5344,-109.81818
frc5935,-104.0
frc2339,-104.0
frc5268,-104.0
frc2404,-88.0
frc2465,-88.0
frc4225,-88.0
frc1554,-72.0
frc5595,-72.0
frc6105,-72.0
frc4386,-56.0
frc5983,-56.0
frc5552,-56.0
frc2429,-40.0
frc5480,-40.0
frc5001,-40.0
frc4799,-40.0
frc3615,-24.0
frc5599,-24.0
frc5943,-10.909119
frc3350,-8.0
frc2204,8.0
frc5123,8.0
frc2709,8.0
frc5906,11.225952
frc5496,21.090881
frc4619,24.0
frc4735,24.0
frc6186,24.0
frc2477,24.0
frc3532,24.0
frc5005,24.0
frc4973,37.09091
frc5737,37.09091
frc2375,40.0
frc4019,40.0
frc4010,40.00003
frc5634,40.0
frc1803,40.0
frc6195,40.0
frc1802,40.0
frc6217,40.0
frc4023,53.09091
frc2461,56.0
frc2556,56.0
frc342,56.0
frc5984,56.0
frc3282,56.0
frc5461,56.0
frc5542,56.0
frc5999,56.0
frc1546,72.0
frc6010,72.0
frc5893,72.0
frc4645,72.0
frc4641,72.0
frc4786,72.0
frc5965,85.09088
frc6007,88.0
frc5758,88.0
frc3692,88.0
frc6058,88.0
frc2441,101.09088
frc766,104.0
frc2984,104.0
frc2872,104.0
frc2725,104.0
frc1708,104.0
frc4694,104.0
frc5070,104.0
frc5888,104.0
frc6682,104.0
frc3952,120.0
frc5283,120.0
frc5899,120.0
frc5118,120.0
frc2704,120.0
frc937,133.09091
frc4186,135.6831
frc3807,136.0
frc3838,136.0
frc4597,136.0
frc5071,136.0
frc4011,136.0
frc6176,136.0
frc3193,136.0
frc6646,136.0
frc2996,152.0
frc5512,152.0
frc5669,152.0
frc2136,152.0
frc5064,152.0
frc2496,152.0
frc3120,152.0
frc5705,152.0
frc3485,152.0
frc2004,152.0
frc3062,152.0
frc6127,167.6864
frc5959,168.0
frc6046,168.0
frc1649,178.18176
frc6184,184.0
frc2707,184.0
frc3417,184.0
frc4740,184.0
frc5785,197.09088
frc2854,200.0
frc1765,200.0
frc4529,200.0
frc5593,200.0
frc5541,200.0
frc4809,200.0
frc3100,200.0
frc1642,213.09091
frc2551,216.0
frc5432,216.0
frc5564,216.0
frc2874,216.0
frc6132,216.0
frc5991,216.0
frc2840,232.0
frc5849,232.0
frc1585,232.0
frc4152,232.0
frc5994,232.0
frc3048,232.0
frc1165,238.45184
frc3133,245.09088
frc4604,245.09088
frc5647,248.0
frc3961,248.0
frc806,248.0
frc6476,248.0
frc337,248.0
frc5020,248.0
frc1920,248.0
frc6160,248.0
frc4657,248.0
frc5720,248.0
frc4480,248.0
frc5306,250.90912
frc5924,264.0
frc4078,264.0
frc371,264.0
frc5800,264.0
frc5625,264.0
frc991,276.45404
frc4139,277.09088
frc5200,280.0
frc538,280.0
frc945,280.0
frc5870,280.0
frc6180,280.0
frc2187,290.18176
frc3187,296.0
frc2470,296.0
frc5857,296.0
frc3173,296.0
frc2603,296.0
frc3821,296.0
frc4074,296.0
frc2511,296.0
frc1716,296.0
frc6143,296.0
frc841,308.7741
frc352,309.09088
frc1290,312.0
frc1799,312.0
frc4024,312.0
frc4802,312.0
frc4847,312.0
frc3266,312.0
frc4364,312.0
frc5047,312.0
frc6045,312.0
frc3988,312.0
frc3081,325.09088
frc3966,328.0
frc5729,328.0
frc3298,328.0
frc4331,328.0
frc5550,328.0
frc4328,328.0
frc2525,328.0
frc6393,328.0
frc6535,328.0
frc5701,341.09088
frc5665,344.0
frc4707,344.0
frc3950,344.0
frc2346,344.0
frc5082,344.0
frc6181,344.0
frc6185,344.0
frc5621,344.0
frc5923,344.0
frc4632,344.0
frc3465,357.09088
frc4141,360.0
frc1759,360.0
frc5551,360.0
frc4739,360.0
frc1308,360.0
frc1334,360.0
frc1398,360.0
frc3291,360.0
frc6585,360.0
frc972,376.0
frc4999,376.0
frc5858,376.0
frc3233,376.0
frc3181,376.0
frc5189,376.0
frc1051,376.0
frc5892,376.0
frc4378,376.0
frc653,376.0
frc4268,376.0
frc581,392.0
frc5817,391.36633
frc4171,392.0
frc1977,392.0
frc6440,392.0
frc6718,392.0
frc4314,392.0
frc5968,392.0
frc3986,392.0
frc4524,392.0
frc4229,392.0
frc2847,392.0
frc6485,392.0
frc4156,394.5923
frc2039,405.0909
frc5630,405.09088
frc4096,405.09088
frc3785,408.0
frc801,407.68317
frc5317,408.0
frc5298,408.0
frc6605,408.0
frc4792,408.0
frc4600,408.0
frc4936,408.0
frc296,408.0
frc3379,408.0
frc6507,408.0
frc5143,408.0
frc4626,408.0
frc5626,408.0
frc6064,408.0
frc3562,410.9091
frc3374,421.09094
frc4013,424.0
frc1245,424.0
frc3993,424.0
frc1880,424.0
frc5932,424.0
frc6689,424.0
frc3721,424.0
frc5592,424.0
frc5832,424.0
frc6034,424.0
frc2358,424.0
frc5672,424.0
frc4933,424.0
frc5261,424.0
frc4348,424.0
frc4217,424.0
frc3367,424.0
frc4511,424.0
frc6038,424.0
frc4049,424.0
frc6373,424.0
frc3216,434.18176
frc4203,437.09088
frc5430,440.0
frc5717,440.0
frc4553,440.0
frc4068,440.0
frc1584,440.0
frc5474,440.0
frc3749,440.0
frc743,440.0
frc1450,440.0
frc5881,440.0
frc5601,440.0
frc4702,440.0
frc4968,440.0
frc6084,440.0
frc3356,440.0
frc2398,440.0
frc5566,440.0
frc3997,440.0
frc3028,440.0
frc2207,440.0
frc3745,440.0
frc5278,440.0
frc6663,440.0
frc5186,440.0
frc1723,447.27264
frc2161,453.09088
frc4746,456.0
frc6608,456.0
frc6612,456.0
frc1850,456.0
frc1847,456.0
frc3541,456.0
frc3591,456.0
frc2424,456.0
frc4166,456.0
frc3765,456.0
frc2825,456.0
frc6487,456.0
frc6164,469.09088
frc4920,469.09082
frc4255,472.0
frc5557,472.0
frc6449,472.0
frc5027,472.0
frc5428,472.0
frc3239,472.0
frc5929,472.0
frc5340,472.0
frc3300,472.0
frc6450,472.0
frc3969,472.0
frc4543,479.27264
frc1332,488.0
frc4517,488.0
frc6041,488.0
frc5041,488.0
frc2658,488.0
frc4263,488.0
frc988,488.0
frc5934,488.0
frc1827,488.0
frc6103,488.0
frc5960,488.0
frc4852,488.0
frc4717,488.0
frc6684,488.0
frc2472,488.0
frc2957,488.0
frc3202,488.0
frc6480,488.0
frc6412,488.0
frc6394,488.0
frc1743,488.0
frc5570,488.0
frc3161,488.0
frc1351,501.09088
frc6059,501.09088
frc5475,500.77408
frc3501,504.0
frc5059,504.0
frc5628,504.0
frc4230,504.0
frc2659,504.0
frc1537,504.0
frc4676,504.0
frc4902,504.0
frc4053,504.0
frc3753,504.0
frc4300,504.0
frc2721,504.0
frc1817,504.0
frc6419,504.0
frc4531,504.0
frc6473,504.0
frc3145,514.18176
frc5605,517.0909
frc1750,517.0909
frc3999,517.0909
frc4159,520.0
frc1661,520.0
frc2259,520.0
frc3200,520.0
frc5949,520.0
frc5877,520.0
frc1601,520.0
frc2869,520.0
frc5516,520.0
frc4788,520.0
frc6062,520.0
frc5773,520.0
frc4296,520.0
frc4979,520.0
frc3138,520.0
frc1249,520.0
frc4521,520.0
frc5418,520.0
frc1209,520.0
frc4610,520.0
frc3610,520.0
frc6621,520.0
frc7009,520.0
frc4633,522.9091
frc4643,533.0909
frc4175,532.77405
frc5933,533.0909
frc1583,536.0
frc6032,536.0
frc4123,536.0
frc3453,536.0
frc1751,536.0
frc4640,536.0
frc4856,536.0
frc73,536.0
frc5947,536.0
frc5821,536.0
frc4595,536.0
frc4179,536.0
frc2382,536.0
frc938,536.0
frc5637,536.0
frc5290,536.0
frc4804,536.0
frc4467,536.0
frc4615,536.0
frc6751,536.0
frc6703,536.0
frc5117,549.0909
frc4733,549.0909
frc5771,552.0
frc4496,552.0
frc6000,552.0
